Learned weight vectors and counts:
w: [0. 0. 0. 0.], count: 1
w: [-3.68426575 -2.436498   -2.880799   -1.01448052], count: 19
w: [-3.53530575 -2.093618   -3.283889   -1.15707052], count: 1
w: [-3.81921575 -2.756618   -2.235399   -1.19918352], count: 11
w: [-3.69723575 -2.546798   -2.554939   -1.18634052], count: 31
w: [-3.55222575 -2.186128   -2.960509   -1.34600052], count: 11
w: [-3.95440575 -3.016528   -1.705009   -1.49699052], count: 22
w: [-4.03700675 -2.720418   -1.833649   -1.64346052], count: 24
w: [-3.96293975 -2.547428   -2.153279   -1.65803052], count: 3
w: [-3.94050775 -2.599575   -2.193665   -1.53786052], count: 1
w: [-3.87603575 -2.138955   -3.028365   -1.26687052], count: 13
w: [-4.05082575 -2.721255   -2.441375   -1.14567052], count: 37
w: [-3.94965575 -2.631035   -2.676435   -1.10295652], count: 4
w: [-3.74655575 -2.445835   -2.977645   -1.10265622], count: 7
w: [-3.64461575 -2.335545   -3.207645   -1.04326122], count: 17
w: [-3.64159385 -2.440665   -3.067405   -0.96589222], count: 21
w: [-3.71147285 -2.778375   -2.655295   -0.81546222], count: 4
w: [-3.58868285 -2.375285   -3.119645   -1.20671222], count: 4
w: [-3.94921285 -2.972685   -2.110485   -1.28955822], count: 5
w: [-3.84284285 -2.603115   -2.526425   -1.48334822], count: 3
w: [-3.79104285 -2.57725    -2.61051    -1.38723022], count: 4
w: [-3.63294285 -2.490341   -2.84189    -1.30481822], count: 8
w: [-3.6325374  -2.427436   -2.906011   -1.22900122], count: 22
w: [-3.7691374  -2.40902    -2.815472   -1.07094122], count: 21
w: [-4.1289874  -3.77495    -1.054952   -1.32021122], count: 3
w: [-4.6770674  -2.95676    -1.027134   -1.82344122], count: 10
w: [-4.6231314  -2.56732    -1.508794   -2.25762122], count: 8
w: [-4.4551414  -2.14664    -1.962774   -2.49693122], count: 7
w: [-4.5070914  -1.82031    -2.271724   -2.39844122], count: 10
w: [-4.2423014  -2.83405    -2.138624   -1.85137122], count: 73
w: [-4.2752254  -2.38853    -2.595804   -1.75249122], count: 7
w: [-4.3409924  -2.66871    -2.224654   -1.65275222], count: 15
w: [-4.3435238  -2.686093   -2.235993   -1.53077222], count: 6
w: [-4.3954708  -2.359763   -2.544943   -1.43228022], count: 19
w: [-4.2636408  -2.169593   -2.876053   -1.42577312], count: 3
w: [-4.0618708  -1.989773   -3.171863   -1.40478312], count: 4
w: [-4.2852708  -2.692913   -2.422503   -1.34344912], count: 31
w: [-4.0461008  -2.237263   -2.921383   -1.63331912], count: 6
